op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
SPLIT,213,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,212,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum181
SPLIT,211,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum181
SPLIT,210,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum181
SPLIT,209,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum181
RESHAPE,258,52224.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum19
SPLIT,292,3264.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum20;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum21;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum22;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum23;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum24;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum25;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum26;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum27;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum28;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum29;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum30;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum31;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum32;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum33;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum34;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum353
SPLIT,291,3264.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum20;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum21;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum22;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum23;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum24;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum25;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum26;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum27;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum28;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum29;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum30;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum31;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum32;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum33;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum34;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum353
SPLIT,290,3264.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum20;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum21;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum22;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum23;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum24;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum25;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum26;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum27;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum28;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum29;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum30;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum31;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum32;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum33;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum34;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum352
SPLIT,289,3264.0,0.0,0.0,0.0,0.0,0.00028056937,-3,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum20;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum21;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum22;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum23;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum24;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum25;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum26;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum27;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum28;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum29;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum30;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum31;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum32;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum33;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum34;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum352
